item	voicing	template	alt1	alt2	alt1voicing	alt2voicing
gabi	DD	CVCV	kabi	gapi	TD	DT
gabu	DD	CVCV	kabu	gapu	TD	DT
gambi	DD	CVNCV	kambi	gampi	TD	DT
gambu	DD	CVNCV	kambu	gampu	TD	DT
gazbi	DD	CVNCV	kazbi	gaspi	TD	DT
gazbu	DD	CVNCV	kazbu	gaspu	TD	DT
gibu	DD	CVCV	kibu	gipu	TD	DT
gimbu	DD	CVNCV	kimbu	gimpu	TD	DT
gizbu	DD	CVNCV	kizbu	gispu	TD	DT
guba	DD	CVCV	kuba	gupa	TD	DT
gubi	DD	CVCV	kubi	gupi	TD	DT
gumba	DD	CVNCV	kumba	gumpa	TD	DT
gumbi	DD	CVNCV	kumbi	gumpi	TD	DT
guzba	DD	CVNCV	kuzba	guspa	TD	DT
guzbi	DD	CVNCV	kuzbi	guspi	TD	DT
gadi	DD	CVCV	kadi	gati	TD	DT
gadu	DD	CVCV	kadu	gatu	TD	DT
gandi	DD	CVNCV	kandi	ganti	TD	DT
gandu	DD	CVNCV	kandu	gantu	TD	DT
gazdi	DD	CVNCV	kazdi	gasti	TD	DT
gazdu	DD	CVNCV	kazdu	gastu	TD	DT
gidu	DD	CVCV	kidu	gitu	TD	DT
gindu	DD	CVNCV	kindu	gintu	TD	DT
gizdu	DD	CVNCV	kizdu	gistu	TD	DT
guda	DD	CVCV	kuda	guta	TD	DT
gudi	DD	CVCV	kudi	guti	TD	DT
gunda	DD	CVNCV	kunda	gunta	TD	DT
gundi	DD	CVNCV	kundi	gunti	TD	DT
guzda	DD	CVNCV	kuzda	gusta	TD	DT
guzdi	DD	CVNCV	kuzdi	gusti	TD	DT
bagi	DD	CVCV	pagi	baki	TD	DT
bagu	DD	CVCV	pagu	baku	TD	DT
bangi	DD	CVNCV	pangi	banki	TD	DT
bangu	DD	CVNCV	pangu	banku	TD	DT
bazgi	DD	CVNCV	pazgi	baski	TD	DT
bazgu	DD	CVNCV	pazgu	basku	TD	DT
bigu	DD	CVCV	pigu	biku	TD	DT
bingu	DD	CVNCV	pingu	binku	TD	DT
bizgu	DD	CVNCV	pizgu	bisku	TD	DT
buga	DD	CVCV	puga	buka	TD	DT
bugi	DD	CVCV	pugi	buki	TD	DT
bunga	DD	CVNCV	punga	bunka	TD	DT
bungi	DD	CVNCV	pungi	bunki	TD	DT
buzga	DD	CVNCV	puzga	buska	TD	DT
buzgi	DD	CVNCV	puzgi	buski	TD	DT
badi	DD	CVCV	padi	bati	TD	DT
badu	DD	CVCV	padu	batu	TD	DT
bandi	DD	CVNCV	pandi	banti	TD	DT
bandu	DD	CVNCV	pandu	bantu	TD	DT
bazdi	DD	CVNCV	pazdi	basti	TD	DT
bazdu	DD	CVNCV	pazdu	bastu	TD	DT
bidu	DD	CVCV	pidu	bitu	TD	DT
bindu	DD	CVNCV	pindu	bintu	TD	DT
bizdu	DD	CVNCV	pizdu	bistu	TD	DT
buda	DD	CVCV	puda	buta	TD	DT
budi	DD	CVCV	pudi	buti	TD	DT
bunda	DD	CVNCV	punda	bunta	TD	DT
bundi	DD	CVNCV	pundi	bunti	TD	DT
buzda	DD	CVNCV	puzda	busta	TD	DT
buzdi	DD	CVNCV	puzdi	busti	TD	DT
dagi	DD	CVCV	tagi	daki	TD	DT
dagu	DD	CVCV	tagu	daku	TD	DT
dangi	DD	CVNCV	tangi	danki	TD	DT
dangu	DD	CVNCV	tangu	danku	TD	DT
dazgi	DD	CVNCV	tazgi	daski	TD	DT
dazgu	DD	CVNCV	tazgu	dasku	TD	DT
digu	DD	CVCV	tigu	diku	TD	DT
dingu	DD	CVNCV	tingu	dinku	TD	DT
dizgu	DD	CVNCV	tizgu	disku	TD	DT
duga	DD	CVCV	tuga	duka	TD	DT
dugi	DD	CVCV	tugi	duki	TD	DT
dunga	DD	CVNCV	tunga	dunka	TD	DT
dungi	DD	CVNCV	tungi	dunki	TD	DT
duzga	DD	CVNCV	tuzga	duska	TD	DT
duzgi	DD	CVNCV	tuzgi	duski	TD	DT
dabi	DD	CVCV	tabi	dapi	TD	DT
dabu	DD	CVCV	tabu	dapu	TD	DT
dambi	DD	CVNCV	tambi	dampi	TD	DT
dambu	DD	CVNCV	tambu	dampu	TD	DT
dazbi	DD	CVNCV	tazbi	daspi	TD	DT
dazbu	DD	CVNCV	tazbu	daspu	TD	DT
dibu	DD	CVCV	tibu	dipu	TD	DT
dimbu	DD	CVNCV	timbu	dimpu	TD	DT
dizbu	DD	CVNCV	tizbu	dispu	TD	DT
duba	DD	CVCV	tuba	dupa	TD	DT
dubi	DD	CVCV	tubi	dupi	TD	DT
dumba	DD	CVNCV	tumba	dumpa	TD	DT
dumbi	DD	CVNCV	tumbi	dumpi	TD	DT
duzba	DD	CVNCV	tuzba	duspa	TD	DT
duzbi	DD	CVNCV	tuzbi	duspi	TD	DT
kampi	TT	CVNCV	kambi	gampi	TD	DT
kampu	TT	CVNCV	kambu	gampu	TD	DT
kapi	TT	CVCV	kabi	gapi	TD	DT
kapu	TT	CVCV	kabu	gapu	TD	DT
kaspi	TT	CVNCV	kazbi	gaspi	TD	DT
kaspu	TT	CVNCV	kazbu	gaspu	TD	DT
kimpu	TT	CVNCV	kimbu	gimpu	TD	DT
kipu	TT	CVCV	kibu	gipu	TD	DT
kispu	TT	CVNCV	kizbu	gispu	TD	DT
kumpa	TT	CVNCV	kumba	gumpa	TD	DT
kumpi	TT	CVNCV	kumbi	gumpi	TD	DT
kupa	TT	CVCV	kuba	gupa	TD	DT
kupi	TT	CVCV	kubi	gupi	TD	DT
kuspa	TT	CVNCV	kuzba	guspa	TD	DT
kuspi	TT	CVNCV	kuzbi	guspi	TD	DT
kanti	TT	CVNCV	kandi	ganti	TD	DT
kantu	TT	CVNCV	kandu	gantu	TD	DT
kasti	TT	CVNCV	kazdi	gasti	TD	DT
kastu	TT	CVNCV	kazdu	gastu	TD	DT
kati	TT	CVCV	kadi	gati	TD	DT
katu	TT	CVCV	kadu	gatu	TD	DT
kintu	TT	CVNCV	kindu	gintu	TD	DT
kistu	TT	CVNCV	kizdu	gistu	TD	DT
kitu	TT	CVCV	kidu	gitu	TD	DT
